text_number,language,url,timestamp,source,question_score
256,en,https://apple.stackexchange.com/questions/1025,2023/3/29,stackexchange,26
257,en,https://apple.stackexchange.com/questions/1028,2023/3/29,stackexchange,1
258,en,https://apple.stackexchange.com/questions/1029,2023/3/29,stackexchange,1
259,en,https://apple.stackexchange.com/questions/1038,2023/3/29,stackexchange,2
260,en,https://apple.stackexchange.com/questions/1041,2023/3/29,stackexchange,13
261,en,https://apple.stackexchange.com/questions/1043,2023/3/29,stackexchange,45
262,en,https://apple.stackexchange.com/questions/1044,2023/3/29,stackexchange,3
263,en,https://apple.stackexchange.com/questions/1045,2023/3/29,stackexchange,20
264,en,https://apple.stackexchange.com/questions/1049,2023/3/29,stackexchange,6
265,en,https://apple.stackexchange.com/questions/1053,2023/3/29,stackexchange,3
266,en,https://apple.stackexchange.com/questions/1054,2023/3/29,stackexchange,3
267,en,https://apple.stackexchange.com/questions/1058,2023/3/29,stackexchange,10
268,en,https://apple.stackexchange.com/questions/1072,2023/3/29,stackexchange,14
269,en,https://apple.stackexchange.com/questions/1074,2023/3/29,stackexchange,8
270,en,https://apple.stackexchange.com/questions/1075,2023/3/29,stackexchange,3
271,en,https://apple.stackexchange.com/questions/1077,2023/3/29,stackexchange,2
272,en,https://apple.stackexchange.com/questions/1078,2023/3/29,stackexchange,5
273,en,https://apple.stackexchange.com/questions/1079,2023/3/29,stackexchange,3
274,en,https://apple.stackexchange.com/questions/1088,2023/3/29,stackexchange,3
275,en,https://apple.stackexchange.com/questions/1089,2023/3/29,stackexchange,0
276,en,https://apple.stackexchange.com/questions/1097,2023/3/29,stackexchange,7
277,en,https://apple.stackexchange.com/questions/1103,2023/3/29,stackexchange,2
278,en,https://apple.stackexchange.com/questions/1104,2023/3/29,stackexchange,13
279,en,https://apple.stackexchange.com/questions/1109,2023/3/29,stackexchange,17
280,en,https://apple.stackexchange.com/questions/1111,2023/3/29,stackexchange,3
281,en,https://apple.stackexchange.com/questions/1114,2023/3/29,stackexchange,1
282,en,https://apple.stackexchange.com/questions/1115,2023/3/29,stackexchange,12
283,en,https://apple.stackexchange.com/questions/1117,2023/3/29,stackexchange,2
